Element,Shell Angular Momentum,Exponents,Coefficients
21,0,"2.715278E+06, 4.065984E+05, 9.253004E+04, 2.620792E+04, 8.549429E+03, 3.085975E+03, 1.203172E+03, 4.984869E+02, 2.167360E+02, 9.787476E+01, 4.520433E+01, 2.021187E+01, 9.574751E+00, 4.540346E+00, 1.995687E+00, 9.422150E-01, 4.178450E-01, 9.576100E-02, 5.135100E-02, 2.387800E-02","8.147221E-06, 6.334788E-05, 3.330384E-04, 1.404055E-03, 5.081725E-03, 1.626926E-02, 4.624577E-02, 1.137223E-01, 2.257636E-01, 3.106700E-01, 2.191906E-01, 7.215879E-02, 1.187030E-01, 1.220532E-01, 2.136795E-02, -5.357246E-04, 2.435774E-04, -8.796617E-05, 7.878246E-05, -1.637155E-05"
21,1,"1.059219E+04, 2.507533E+03, 8.144571E+02, 3.115195E+02, 1.319617E+02, 5.998718E+01, 2.866250E+01, 1.410851E+01, 7.103706E+00, 3.609200E+00, 1.776070E+00, 8.547600E-01, 4.022390E-01, 1.546650E-01, 6.494500E-02, 2.635900E-02","4.500000E-05, 4.010000E-04, 2.302000E-03, 1.003700E-02, 3.495400E-02, 9.790900E-02, 2.106800E-01, 3.300930E-01, 3.310270E-01, 1.579600E-01, 2.209900E-02, -1.605000E-03, -1.326000E-03, -2.800000E-04, 3.400000E-05, -1.300000E-05"
21,2,"5.051380E+01, 1.474050E+01, 5.195000E+00, 2.028460E+00, 8.040860E-01, 3.076890E-01, 1.113920E-01, 3.735200E-02","4.266000E-03, 2.770800E-02, 1.000010E-01, 2.315810E-01, 3.460330E-01, 3.733740E-01, 2.642880E-01, 6.366700E-02"
21,3,"7.267000E-01, 1.665000E-01","1.000000E+00, 0.000000E+00"
21,4,4.187000E-01,1.0000000
22,0,"3.014643E+06, 4.514329E+05, 1.027338E+05, 2.909817E+04, 9.492330E+03, 3.426346E+03, 1.335896E+03, 5.535026E+02, 2.406925E+02, 1.087293E+02, 5.026457E+01, 2.258004E+01, 1.071432E+01, 5.093546E+00, 2.244183E+00, 1.059570E+00, 4.688490E-01, 1.061430E-01, 5.526200E-02, 2.546500E-02","8.060782E-06, 6.267518E-05, 3.295006E-04, 1.389203E-03, 5.028469E-03, 1.610419E-02, 4.581232E-02, 1.128613E-01, 2.248193E-01, 3.114571E-01, 2.224995E-01, 7.293128E-02, 1.160683E-01, 1.194774E-01, 2.097868E-02, -5.091715E-04, 2.217859E-04, -7.636896E-05, 7.719539E-05, -1.149056E-05"
22,1,"1.191203E+04, 2.819947E+03, 9.159479E+02, 3.503842E+02, 1.484825E+02, 6.753944E+01, 3.230332E+01, 1.592786E+01, 8.038035E+00, 4.093916E+00, 2.022390E+00, 9.761020E-01, 4.595950E-01, 1.771520E-01, 7.351700E-02, 2.940100E-02","4.400000E-05, 3.910000E-04, 2.248000E-03, 9.823000E-03, 3.433800E-02, 9.666600E-02, 2.094170E-01, 3.301890E-01, 3.319360E-01, 1.584880E-01, 2.231000E-02, -1.566000E-03, -1.324000E-03, -2.710000E-04, 3.200000E-05, -1.200000E-05"
22,2,"6.401300E+01, 1.881790E+01, 6.728700E+00, 2.664130E+00, 1.078680E+00, 4.232090E-01, 1.559990E-01, 5.188400E-02","3.887000E-03, 2.639900E-02, 9.751100E-02, 2.328480E-01, 3.531520E-01, 3.721860E-01, 2.476720E-01, 5.823600E-02"
22,3,"1.248300E+00, 2.836000E-01","1.000000E+00, 0.000000E+00"
22,4,7.251000E-01,1.0000000
